title,author,date,abstract,url
Jennifer Coolidge Loads Up on Vegan Chocolate Bars and Whipped Cream,By Alexis Soloski,2020-01-17T10:00:12+0000,The character actress shops for meatless treats at a vegan bodega on the Lower East Side.,https://www.nytimes.com/2020/01/17/style/self-care/jennifer-coolidge-like-a-boss-vegan.html
Vegan Caesar Salad With Crisp Chickpeas,Becky Hughes,2020-01-09T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020763-vegan-caesar-salad-with-crisp-chickpeas
"＆Ethical Veganism＊ Is a Philosophical Belief, British Court Rules",By Elian Peltier,2020-01-03T18:17:25+0000,A judge said that ethical vegans were entitled to similar protection in the workplace as those holding religious beliefs.,https://www.nytimes.com/2020/01/03/world/europe/discrimination-against-vegans.html
Vegan Slow Cooker Red Beans and Rice,Sarah DiGregorio,2020-01-23T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020816-vegan-slow-cooker-red-beans-and-rice
Vegan Pressure Cooker Red Beans and Rice,Sarah DiGregorio,2020-01-23T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020824-vegan-pressure-cooker-red-beans-and-rice
How to Cook With Plant-Based Meats,By J. Kenji L車pez-Alt,2020-03-03T17:39:04+0000,"You may have tried restaurant versions, but making them at home is another matter. J. Kenji L車pez-Alt has tested them and offers practical advice.",https://www.nytimes.com/2020/03/03/dining/impossible-beyond-meat.html
Vegan Turkish Kebabs With Sumac Onions and Garlic-Dill Mayonnaise,J. Kenji L車pez-Alt,2020-03-04T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020865-vegan-turkish-kebabs-with-sumac-onions-and-garlic-dill-mayonnaise
"Pledging to Go Vegan, at Least for January",By Alyson Krueger,2020-01-18T10:00:10+0000,"Veganuary, a campaign that started in the United Kingdom, has made its way to these shores.",https://www.nytimes.com/2020/01/18/style/self-care/veganuary-vegan-january.html
What if We Could Have Meat Without Murder?,By Andy Lamey,2020-07-02T09:00:14+0000,"We can, if we can agree that it doesn＊t need to come from the body of an animal.",https://www.nytimes.com/2020/07/02/opinion/lab-grown-meat.html
This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,By Tejal Rao,2020-04-01T03:00:55+0000,"A quick pur谷e, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.",https://www.nytimes.com/2020/03/31/magazine/broccoli-dill-pasta-recipe.html
Alicia Silverstone Wants Us to Eat Our Fruits and Vegetables,By Ilana Kaplan,2020-05-31T09:00:10+0000,From ＊90s ※It§ girl to animal-rights advocate and food activist 〞 with a dash of controversy.,https://www.nytimes.com/2020/05/31/style/alicia-silverstone-clueless-25-years.html
The End of Meat Is Here,By Jonathan Safran Foer,2020-05-21T09:01:30+0000,"If you care about the working poor, about racial justice, and about climate change, you have to stop eating animals.",https://www.nytimes.com/2020/05/21/opinion/coronavirus-meat-vegetarianism.html
No Cow Necessary: Here＊s How to Make Plant-Based Milk,By Hiroko Tabuchi,2020-05-13T15:11:08+0000,"Home baristas have made soy, oat and almond milk hard to find in stores. You can make them in your kitchen, and cut your carbon footprint at the same time.",https://www.nytimes.com/2020/05/13/climate/make-almond-oat-soy-milk.html
Nutritional Yeast Is for Hippies. ＆Nooch＊ Is for Everyone.,By Becky Hughes,2020-05-08T09:00:18+0000,"Nutritional yeast (※nooch§) has gone mainstream, as consumers look beyond its supposed health benefits and treat it as an umami-rich seasoning.",https://www.nytimes.com/2020/05/08/dining/nutritional-yeast-nooch.html
"A Moment of Calm With Jewel, and More Live Events This Week",By Jennifer Harlan,2020-05-04T09:00:17+0000,"Watch the singer perform songs from her new album. Plus, join our talks on coronavirus treatments, wellness at home and more.",https://www.nytimes.com/2020/05/04/arts/a-moment-of-calm-with-jewel-and-more-live-events-this-week.html
How to Feed Your Baby or Toddler a Vegetarian Diet,By Ellen Lee,2020-04-17T23:11:51+0000,"With careful planning, vegetarian and vegan diets can be nutritious and safe for young children.",https://www.nytimes.com/article/vegetarian-baby-guide.html
"11 New Cookbooks Worth Buying, Even in Quarantine",By The New York Times,2020-04-21T00:38:02+0000,"Our favorite releases of the season, selected by Food reporters and editors from The New York Times.",https://www.nytimes.com/2020/04/20/dining/best-cookbooks-coronavirus.html
"Corned Beef, Hold the Beef",By Florence Fabricant,2020-03-09T20:43:52+0000,A new vegan deli product mimics the flavor of the Reuben staple.,https://www.nytimes.com/2020/03/09/dining/vegan-meat-corned-beef.html
How Do They Make Plant-Based Meat Behave Like Beef?,By J. Kenji L車pez-Alt,2020-03-03T17:43:01+0000,J. Kenji L車pez-Alt explains the science behind the new vegan products.,https://www.nytimes.com/2020/03/03/dining/plant-based-meat-science.html
33 Recipes Our Food Staff Cooked on Repeat in 2020,NA,2020-12-19T15:30:01+0000,All the dishes we cooked over and over again.,https://www.nytimes.com/2020/12/19/admin/33-recipes-our-food-staff-cooked-on-repeat-in-2020.html
The Coziest White Bean Stew,By Margaux Laskey,2020-11-27T17:30:04+0000,Thousands of readers can＊t be wrong about Colu Henry＊s roasted tomato and white bean stew.,https://www.nytimes.com/2020/11/27/dining/the-coziest-white-bean-stew.html
"Lots of Flavor, Less Meat",By Emily Weinstein,2020-11-13T17:30:04+0000,Excellent recipes for a climate-friendly diet.,https://www.nytimes.com/2020/11/13/dining/climate-change-recipes.html
Meatless Meatballs in Marinara Sauce,Melissa Clark,2020-01-01T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020740-meatless-meatballs-in-marinara-sauce
A Slider Bun Packed With Whole Grains,By Florence Fabricant,2020-06-01T22:30:51+0000,"Angelic Bakehouse has added tiny buns, made from seven sprouted whole grains, to its sandwich-bread lineup.",https://www.nytimes.com/2020/06/01/dining/angelic-bakehouse-slider-buns.html
Green Chutney From a Minneapolis Family Recipe,By Florence Fabricant,2020-12-29T00:58:33+0000,"The sisters Sheilla and Yasameen Sajady turned the cilantro chutney made by their mother, Fatima, into a business.",https://www.nytimes.com/2020/12/28/dining/green-chutney-maazah.html
An Ancient Grain Flour for Your Pie Crust,By Florence Fabricant,2020-11-10T02:05:09+0000,"This gluten-free flour from the chef Thomas Keller＊s company can be used, as the brand says, measure for measure.",https://www.nytimes.com/2020/11/09/dining/cup4cup-ancient-grains-flour.html
"Beans, Ready to Eat",By Florence Fabricant,2020-04-06T23:37:16+0000,"A Dozen Cousins makes single-serve packs of spiced beans, in three varieties, that just require heat to serve.",https://www.nytimes.com/2020/04/06/dining/a-dozen-cousins-beans.html
Cherries Belong in More Than Pie,By Angela Dimayuga,2020-07-24T17:32:24+0000,"Turn them into something savory, alongside charred scallions and creamy raw pistachios.",https://www.nytimes.com/2020/07/24/dining/cherry-salad-recipe.html
Sarah Paulson Has a Thing for Vulgar Performances and Good Cries,By Kathryn Shattuck,2020-09-15T14:00:09+0000,The frequent Ryan Murphy collaborator takes on a terrifying role in Netflix＊s ※Ratched§ while soothing her soul with vegan cookies and John Cassavetes films.,https://www.nytimes.com/2020/09/15/arts/television/sarah-paulson-favorites.html
Five Kwanzaa Celebrations Around the Country,"By Nicole Taylor, Nydia Blas, Celeste Noche, Brian Palmer and Timothy Smith",2020-12-21T22:04:44+0000,"For many Black Americans, the holiday is a time for bonding, joy and repose. The Times visited five households to see how people cook and gather, engage and reflect.",https://www.nytimes.com/2020/12/21/dining/kwanzaa-celebration.html
Luxury Cars Go Sustainable From the Inside Out,By Brett Berk,2020-06-04T19:44:38+0000,"Vegan leather, plastic bottles recycled into a suede-like fabric: Automakers are adapting to customer interest in environmentally friendly alternatives to typical interiors.",https://www.nytimes.com/2020/06/04/business/sustainable-materials-cars.html
Bright Flavors for Dreary Days,By Julia Moskin,2020-01-24T17:59:18+0000,"Three-cup vegetables, a creamy farro with mushrooms, and fried eggs with garlicky green rice: Let these meals jolt awake your urge to cook.",https://www.nytimes.com/2020/01/24/dining/bright-flavors-for-dreary-days.html
Booker says Harris＊s speech brought him to tears: ＆I had to hold a tissue box.＊,By Neil Vigdor,2020-08-20T16:15:18+0000,"Senator Cory Booker of New Jersey said on Thursday that he was overcome with emotion watching his colleague Kamala Harris accept the Democratic nomination for vice president the night before, but he also issued a warning for his party not to become complacent.",https://www.nytimes.com/2020/08/20/us/elections/booker-says-harriss-speech-brought-him-to-tears-i-had-to-hold-a-tissue-box.html
Dirt Candy Returns With a Vegetarian Muffuletta,By Florence Fabricant,2020-08-03T20:56:55+0000,The chef Amanda Cohen＊s vegetarian restaurant on the Lower East Side has reopened with a new menu.,https://www.nytimes.com/2020/08/03/dining/dirt-candy-vegetarian-muffuletta.html
What＊s on TV Friday: ＆Yourself and Yours＊ and ＆Circumstantial Pleasures＊,By Gabe Cohn,2020-06-05T05:00:08+0000,"Hong Sang-soo＊s ※Yourself and Yours§ has a virtual debut. And the artist Lewis Klahr takes part in a virtual Q. and A. about his latest film, which can be streamed.",https://www.nytimes.com/2020/06/05/arts/television/whats-on-tv-friday-we-are-freestyle-love-supreme-circumstantial-pleasures.html
Shortcuts We Love,By Julia Moskin,2020-03-06T17:30:03+0000,"Frozen puff pastry, boneless chicken breasts and canned beans: This week＊s recipes lean heavily on delicious timesavers.",https://www.nytimes.com/2020/03/06/dining/shortcuts-we-love.html
What to Cook This Week,By Sam Sifton,2020-01-12T15:30:00+0000,"Take a break for a little something sweet, and make Dorie Greenspan＊s latest recipe for a Swedish almond cake.",https://www.nytimes.com/2020/01/12/dining/what-to-cook-this-week.html
Recipes You Love,By Emily Weinstein,2020-10-09T16:30:03+0000,"You told us what you＊ve been cooking, and we listened.",https://www.nytimes.com/2020/10/09/dining/recipes-reader-favorites.html
What to Cook This Week,By Sam Sifton,2020-12-27T15:30:01+0000,"Nicole Taylor spoke with five families celebrating Kwanzaa, and returned with incredible recipes for BBQ tofu, coffee-rubbed grilled fish and vegan doughnuts.",https://www.nytimes.com/2020/12/27/dining/what-to-cook-this-week.html
Fried Chicken Is Joy,By Emily Weinstein,2020-12-25T17:30:03+0000,"Try Nicole Taylor＊s recipe, marinated in berry jam, or make a Gruy豕re puff, a classic pasta dish or a glorious pan of nachos this week.",https://www.nytimes.com/2020/12/25/dining/fried-chicken-is-joy.html
The Most Comforting Chicken,By Julia Moskin,2020-04-24T16:30:01+0000,"Diana Henry＊s one-pot chicken thighs with black beans, rice and chiles is full of flavor, and so satisfying.",https://www.nytimes.com/2020/04/24/dining/the-most-comforting-chicken.html
What to Cook This Weekend,By Sam Sifton,2020-10-16T14:30:00+0000,Make James Beard＊s onion sandwiches and pour yourself a drink.,https://www.nytimes.com/2020/10/16/dining/what-to-cook-this-weekend.html
The Case for Sausage Rolls,By Sam Sifton,2020-10-21T14:30:00+0000,"You don＊t need much of a reason to make these Australian favorites, but Melissa Clark makes a compelling argument.",https://www.nytimes.com/2020/10/21/dining/the-case-for-sausage-rolls.html
The Coziest Vegetable-and-Sausage Soup for Those Chilly May Days,By Melissa Clark,2020-05-11T17:40:14+0000,"Make a big pot, brimming with roots and greens from the crisper, for a little bit of comfort.",https://www.nytimes.com/2020/05/11/dining/vegetable-sausage-soup-recipe-coronavirus.html
Cooking Can Help,By Sam Sifton,2020-10-12T14:30:00+0000,Mondays land heavily sometimes. You may find joy in making something new.,https://www.nytimes.com/2020/10/12/dining/cooking-can-help.html
An Artist Having Fun While Waiting for Catastrophe,By Alex Marshall,2020-07-31T13:22:17+0000,"Heather Phillipson＊s works make viewers smile, but underneath their bright, over-the-top exteriors are dark, urgent messages.",https://www.nytimes.com/2020/07/31/arts/design/heather-phillipson-fourth-plinth.html
When Dressing for Work is Part of the Job,By John Ortved,2020-02-01T10:00:21+0000,"At Moda Operandi, the luxury runway website, cargo pants won＊t do, unless they＊re fashion approved.",https://www.nytimes.com/2020/02/01/style/when-dressing-for-work-is-part-of-the-job.html
"Weekly Health Quiz: Better Masks, a Sleep Benefit and Another Coronavirus Vaccine",By Toby Bilanow,2020-11-27T10:00:02+0000,Test your knowledge of this week＊s health news.,https://www.nytimes.com/interactive/2020/11/27/well/live/27healthquiz-11272020.html
A New Home for the City Bakery＊s Hot Chocolate,By Florence Fabricant,2020-01-30T19:43:20+0000,"The Wonderbon Chocolate Company, from the founder of the shuttered bakery, is opening a West Village pop-up serving the hot drink.",https://www.nytimes.com/2020/01/30/dining/wonderbon-chocolate-co.html
What to Cook This Weekend,By Sam Sifton,2020-03-20T14:30:00+0000,"Make some pizza dough, peanut butter cookies and some freezer-friendly meals, balms to these anxiety-inducing times.",https://www.nytimes.com/2020/03/20/dining/what-to-cook-this-weekend.html
"Impeachment, Royal Family, SpaceX: Your Weekend Briefing",By Remy Tumin and Stephen Reiss,2020-01-19T11:00:06+0000,Here＊s what you need to know about the week＊s top stories.,https://www.nytimes.com/2020/01/19/briefing/impeachment-royal-family-spacex.html
Plant-Based ＆Meats＊ Catch On in the Pandemic,By Amelia Nierenberg,2020-05-22T19:16:49+0000,"As the meat industry struggles to respond to the outbreak, makers of vegan substitutes are ramping up production to meet new interest from shoppers.",https://www.nytimes.com/2020/05/22/dining/plant-based-meats-coronavirus.html
Superiority Burger＊s Crispy Fried Tofu Sandwich,Alexa Weibel,2020-07-09T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021237-superiority-burgers-crispy-fried-tofu-sandwich
E.U. Says Veggie Burgers Can Keep Their Name,By Isabella Kwai,2020-10-23T06:01:24+0000,The European Parliament voted on Friday on proposals that would have banned products without meat from being labeled burgers or sausages.,https://www.nytimes.com/2020/10/23/world/europe/eu-plant-based-labeling.html
"Haitian and Jamaican Patties, Traditional and Not, in Brooklyn",By Marian Bull,2020-01-23T18:18:54+0000,"Kafe Louverture, in Bedford-Stuyvesant, and Branch Patty, at Artists & Fleas Williamsburg, make two variations on the beloved treat.",https://www.nytimes.com/2020/01/23/dining/jamaican-beef-patty-branch-kafe-louverture-review.html
This Is Not Your Average Pumpkin Soup,By Lidey Heuck,2020-11-17T17:15:50+0000,"Caramelized onions, apple cider and a touch of curry powder make this simple soup worthy of the Thanksgiving table.",https://www.nytimes.com/2020/11/17/dining/pumpkin-soup-recipe.html
What to Cook This Weekend,By Julia Moskin,2020-09-04T14:30:01+0000,"Celebrate September with Marian Burros＊s plum torte, or cook with whatever is good right now.",https://www.nytimes.com/2020/09/04/dining/what-to-cook-this-weekend.html
"A Lighter, Brighter Meatball",By Melissa Clark,2020-08-28T15:53:20+0000,"Quickly made in a skillet with ripe peaches, basil and lime juice, these meatballs are perfect for weeknights.",https://www.nytimes.com/2020/08/28/dining/peach-meatball-recipe.html
"A Bright, Comforting One-Pot Stew With West African Roots",By Yewande Komolafe,2020-05-22T18:38:35+0000,"This brothy version of asaro is packed with yams, plantains and hearty greens.",https://www.nytimes.com/2020/05/22/dining/asaro-summer-recipe.html
Recent Commercial Real Estate Transactions,By Jaclyn Peiser,2020-02-11T14:00:10+0000,Recent commercial real estate transactions in New York.,https://www.nytimes.com/2020/02/11/business/new-york-commercial-real-estate.html
"Pekarna Opens, Featuring the Cuisine of Slovenia",NA,2020-12-08T19:11:03+0000,"Hot pot in the East Village, a new neighborhood spot in Prospect Heights, and more restaurant news.",https://www.nytimes.com/2020/12/08/dining/nyc-restaurant-news.html
This Larb Couldn＊t Be Easier or More Adaptable,By Melissa Clark,2020-04-27T17:48:03+0000,"Use ground pork or chicken, chopped fish fillets or mushrooms in this herby Thai favorite.",https://www.nytimes.com/2020/04/27/dining/pork-larb-coronavirus.html
What to Cook This Weekend,By Sam Sifton,2020-01-03T15:30:00+0000,"There＊s a lot of prepping herbs in Tejal Rao＊s jingalov hats (Armenian flatbreads stuffed with greens), but it＊s the kind of work that brings peace and joy.",https://www.nytimes.com/2020/01/03/dining/what-to-cook-this-weekend.html
The Most Delicious Chicken,By Emily Weinstein,2020-07-03T16:30:07+0000,These bright recipes embrace summer and its promise.,https://www.nytimes.com/2020/07/03/dining/the-most-delicious-chicken.html
Quarantine on a College Campus,NA,2020-09-16T10:00:08+0000,Higher education institutions have become the latest coronavirus hot spots in the United States. One student＊s story illustrates the issues with reopening.,https://www.nytimes.com/2020/09/16/podcasts/the-daily/college-coronavirus-outbreaks.html
19 Recipes Our Food Staff Cooked on Repeat in 2020,By Kasia Pilat,2020-12-16T16:28:19+0000,"Spotify has its end-of-year lists, and NYT Cooking has one, too: Reporters and editors shared their go-to recipes.",https://www.nytimes.com/2020/12/16/dining/favorite-pandemic-recipes.html
Our ＆Pursuit of Happiness＊ Is Killing the Planet,By James Traub,2020-03-07T02:02:10+0000,We need to strike a new balance between our private pleasures and our collective survival.,https://www.nytimes.com/2020/03/06/opinion/our-pursuit-of-happiness-is-killing-the-planet.html
"What Students Are Saying About Vegetarianism, Parental Advice and How We Listen",By The Learning Network,2020-02-27T17:00:08+0000,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.",https://www.nytimes.com/2020/02/27/learning/what-students-are-saying-about-vegetarianism-parental-advice-and-how-we-listen.html
"Xilonen, From the Oxomoco Team, Opens in Greenpoint, Brooklyn",By Florence Fabricant,2020-12-29T17:17:59+0000,"A stretch of outdoor dining in Harlem, wine delivery from Baldor, and more restaurant news.",https://www.nytimes.com/2020/12/29/dining/nyc-restaurant-news.html
What to Cook This Weekend,By Sam Sifton,2020-10-30T14:30:03+0000,"Make a stew for comfort, and a pie to restore you.",https://www.nytimes.com/2020/10/30/dining/what-to-cook-this-weekend.html
How Watch Straps Are Like Tires,By Rachel Felder,2020-09-09T09:00:11+0000,"Watches can last for many years, but their straps are meant to be replaced. Here＊s how to know when it＊s time.",https://www.nytimes.com/2020/09/09/fashion/watches-straps-metal-bracelets.html
Let＊s Talk Chocolate,By Sam Sifton,2020-02-12T15:30:00+0000,"Melissa Clark has delivered a big story this week, exploring the ethical issues surrounding chocolate. And with it? Three excellent recipes.",https://www.nytimes.com/2020/02/12/dining/lets-talk-chocolate.html
North Fork Table & Inn Reopens Its Food Truck,By Florence Fabricant,2020-05-26T16:56:02+0000,"An East Village location for a meatpacking bar and restaurant, Indian provisions on the Upper East Side, and more restaurant news.",https://www.nytimes.com/2020/05/26/dining/nyc-hamptons-restaurant-news.html
What to Cook Right Now,By Sam Sifton,2020-06-22T14:40:01+0000,"Dream of restaurants, then cook for ease and deliciousness.",https://www.nytimes.com/2020/06/22/dining/what-to-cook-right-now.html
The Fastest Sesame Noodles,By Julia Moskin,2020-02-07T17:30:01+0000,"Ali Slagle＊s take, with chicken and peanuts, can be done in 30 minutes, from start to finish.",https://www.nytimes.com/2020/02/07/dining/the-fastest-sesame-noodles.html
The Most Adaptable Skillet Chicken,By Margaux Laskey,2020-10-16T16:30:03+0000,Make a one-pan dinner to keep things simple.,https://www.nytimes.com/2020/10/16/dining/the-most-adaptable-skillet-chicken.html
Late Night Asks Why the Orange Chicken Crossed the Road,By Trish Bendix,2020-06-04T06:37:20+0000,President Trump continued to get mocked for his photo op at St. John＊s Episcopal Church after protests were forcibly broken up nearby.,https://www.nytimes.com/2020/06/04/arts/television/late-night-trump-orange-chicken.html
"＆Heck Yeah, We＊re Dancing＊: It＊s Diplo, Live From His Living Room",By Sheila Marikar,2020-04-26T09:00:14+0000,"The popular D.J. is streaming music and memes to thousands with a fog machine from Target 〞 and ※having the best time ever,§ he reports.",https://www.nytimes.com/2020/04/26/style/diplo-livestream-coronavirus.html
Impossible Dumplings and Beyond Buns: Will China Buy Fake Meat?,By David Yaffe-Bellany,2020-01-07T10:00:22+0000,Impossible Foods and Beyond Meat want to expand to the Chinese market but face significant governmental and cultural hurdles.,https://www.nytimes.com/2020/01/07/business/fake-pork-china.html
Our 28 Best Christmas Cookies,By Margaux Laskey,2020-12-09T22:02:37+0000,"We put together a list of our favorite holiday treats, including peanut butter blossoms, rugelach and frosted sugar cookies.",https://www.nytimes.com/article/best-christmas-cookies.html
The T List: Five Things We Recommend This Week,NA,2020-08-06T13:00:13+0000,"Paintings by Toyin Ojih Odutola, Hawaiian pastries 〞 and more.",https://www.nytimes.com/2020/08/06/t-magazine/t-list-toyin-ojih-odutola.html
"Iran, Australia, Golden Globes: Your Monday Briefing",By Mike Ives,2020-01-06T05:21:28+0000,Here＊s what you need to know.,https://www.nytimes.com/2020/01/06/briefing/iran-australia-golden-globes.html
Thanksgiving Main Dishes That Are Better Than Turkey,By The New York Times,2020-11-17T16:35:03+0000,"Maybe you don＊t like turkey, or it＊s too expensive, or just not worth the work. We＊ve got recipes to get excited about.",https://www.nytimes.com/article/thanksgiving-main-dish-not-turkey.html
"New Year, New Recipes",By Sam Sifton,2020-01-01T15:30:00+0000,"Indian butter chickpeas, mushroom Bourguignon, and more: Melissa Clark has seven new recipes to help you eat less meat in 2020.",https://www.nytimes.com/2020/01/01/dining/new-year-new-recipes.html
What to Cook This Weekend,By Sam Sifton,2020-05-29T14:30:00+0000,"Let cooking bring joy in the days ahead, whether you make barbecued chicken, Usha Prabakaran＊s garlic rasam, or a classic pasta salad.",https://www.nytimes.com/2020/05/29/dining/what-to-cook-this-weekend.html
What to Cook This Weekend,By Sam Sifton,2020-07-03T14:30:01+0000,Brighten your weekend morning with Joanne Chang＊s blueberry scones.,https://www.nytimes.com/2020/07/03/dining/what-to-cook-this-weekend.html
2020 Golden Globes Red Carpet: Fashion at the Awards,By Arit John and Sanam Yar,2020-01-05T22:37:05+0000,"Have a look at Taylor Swift, Brad Pitt, Cynthia Erivo, Laura Dern, Tiffany Haddish and many more of the night＊s stars.",https://www.nytimes.com/2020/01/05/style/golden-globes-red-carpet-fashion.html
This Is the Best Roast Chicken,By Sam Sifton,2020-01-15T15:30:00+0000,"Make Melissa Clark＊s latest, a beautiful, crisp-skinned Parmesan coated bird, and settle in with Alan Richman＊s profile of the great chef Jean-Georges Vongerichten.",https://www.nytimes.com/2020/01/15/dining/this-is-the-best-roast-chicken.html
Jimmy Fallon: Trump＊s Hanukkah Party Was a ＆Festival of Lies＊,By Trish Bendix,2020-12-11T07:00:59+0000,"※Even the dreidel was looking at Trump like, ＆Damn, this guy spins more than I do,＊§ Fallon joked on Wednesday.",https://www.nytimes.com/2020/12/11/arts/television/late-night-white-house-hanukkah-party-facebook.html
The New #TheStew,By Emily Weinstein,2020-01-03T17:30:04+0000,"Make Alison Roman＊s latest, a spicy white bean stew with broccoli rabe, as soon as possible.",https://www.nytimes.com/2020/01/03/dining/the-new-thestew.html
Taco Pizza and Other Stories,By Sam Sifton,2020-02-03T15:30:04+0000,"Make an Iowa-style taco pizza for Caucus Day, or if that doesn＊t appeal, cook up Melissa Clark＊s excellent new recipe for pasta with broccoli rabe and anchovies.",https://www.nytimes.com/2020/02/03/dining/taco-pizza-and-other-stories.html
＆Always Up for an Adventure＊ and He Passed Her Tests,By Nina Reyes,2020-10-02T09:00:10+0000,"She wasn＊t optimistic, but he was. So she tested him on the second date, by taking him to a drag show. And then to another one on the third, ※just to make double sure.§",https://www.nytimes.com/2020/10/02/style/always-up-for-an-adventure-and-he-passed-her-tests.html
Slow Cooker Central,By Margaux Laskey,2020-08-28T16:30:04+0000,"Love it or hate it, the slow cooker is a valued tool in many home kitchens. Here are five excellent dishes.",https://www.nytimes.com/2020/08/28/dining/slow-cooker-central.html
A Driverless Oscars Takes a Winding Road,By James Poniewozik,2020-02-10T04:50:49+0000,"Without a host for a second year, the ceremony offered a grab bag of emotional moments and head-scratching choices.",https://www.nytimes.com/2020/02/09/arts/television/oscars-academy-awards-review.html
What to Cook (Grill!) This Weekend,By Sam Sifton,2020-02-07T15:30:01+0000,"We may be well into winter, but the call of the grill is powerful for some. (No? It＊s not? We have recipes for you, too.)",https://www.nytimes.com/2020/02/07/dining/what-to-cook-grill-this-weekend.html
"Forsythia, Rustic Italian Food, Opens for Takeout and Delivery",By Florence Fabricant,2020-06-02T16:09:45+0000,"An outdoor nook from Le Crocodile, a Midtown location for a downtown Japanese spot, and more restaurant news.",https://www.nytimes.com/2020/06/02/dining/nyc-restaurant-news-coronavirus.html
Easy Recipes to Cook While You＊re Self-Quarantined,By Margaux Laskey,2020-03-18T20:37:55+0000,Here are some simple dishes that can be made mostly with what you have on hand.,https://www.nytimes.com/article/easy-recipes-coronavirus.html
